library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
HSM7J4OZ_H4032C13_MBX	HSM7J4OZ	metabolomics			HSM7J4OZ_H4032C13_MBX
HSMA33JP_H4032C20_MBX	HSMA33JP	metabolomics			HSMA33JP_H4032C20_MBX
HSM7J4HO_H4035C3_MBX	HSM7J4HO	metabolomics			HSM7J4HO_H4035C3_MBX
HSM7J4HS_H4035C5_MBX	HSM7J4HS	metabolomics			HSM7J4HS_H4035C5_MBX
HSM7J4JZ_H4035C7_MBX	HSM7J4JZ	metabolomics			HSM7J4JZ_H4035C7_MBX
HSM7J4K8_H4035C11_MBX	HSM7J4K8	metabolomics			HSM7J4K8_H4035C11_MBX
HSMA33OR_H4035C14_MBX	HSMA33OR	metabolomics			HSMA33OR_H4035C14_MBX
HSMA33OZ_H4035C18_MBX	HSMA33OZ	metabolomics			HSMA33OZ_H4035C18_MBX
HSMA33MI_H4035C23_MBX	HSMA33MI	metabolomics			HSMA33MI_H4035C23_MBX
HSM7J4J7_H4038C2_MBX	HSM7J4J7	metabolomics			HSM7J4J7_H4038C2_MBX
HSM7J4JF_H4038C6_MBX	HSM7J4JF	metabolomics			HSM7J4JF_H4038C6_MBX
HSMA33NG_H4038C11_MBX	HSMA33NG	metabolomics			HSMA33NG_H4038C11_MBX
HSMA33KM_H4038C18_MBX	HSMA33KM	metabolomics			HSMA33KM_H4038C18_MBX
HSMA33PZ_H4038C21_MBX	HSMA33PZ	metabolomics			HSMA33PZ_H4038C21_MBX
HSMA33Q6_H4038C24_MBX	HSMA33Q6	metabolomics			HSMA33Q6_H4038C24_MBX
HSM7J4LP_H4039C1_MBX	HSM7J4LP	metabolomics			HSM7J4LP_H4039C1_MBX
HSMA33NQ_H4039C10_MBX	HSMA33NQ	metabolomics			HSMA33NQ_H4039C10_MBX
HSMA33L1_H4039C18_MBX	HSMA33L1	metabolomics			HSMA33L1_H4039C18_MBX
HSMA33PP_H4039C21_MBX	HSMA33PP	metabolomics			HSMA33PP_H4039C21_MBX
HSM7J4JT_H4040C1_MBX	HSM7J4JT	metabolomics			HSM7J4JT_H4040C1_MBX
HSM7J4NU_H4040C5_MBX	HSM7J4NU	metabolomics			HSM7J4NU_H4040C5_MBX
HSMA33OJ_H4040C13_MBX	HSMA33OJ	metabolomics			HSMA33OJ_H4040C13_MBX
HSMA33M8_H4040C23_MBX	HSMA33M8	metabolomics			HSMA33M8_H4040C23_MBX
HSM7J4JV_H4042C1_MBX	HSM7J4JV	metabolomics			HSM7J4JV_H4042C1_MBX
HSMA33MZ_H4042C3_MBX	HSMA33MZ	metabolomics			HSMA33MZ_H4042C3_MBX
HSMA33IY_H4042C17_MBX	HSMA33IY	metabolomics			HSMA33IY_H4042C17_MBX
HSMA33RL_H4042C23_MBX	HSMA33RL	metabolomics			HSMA33RL_H4042C23_MBX
HSM7J4JW_H4043C1_MBX	HSM7J4JW	metabolomics			HSM7J4JW_H4043C1_MBX
HSMA33LL_H4043C7_MBX	HSMA33LL	metabolomics			HSMA33LL_H4043C7_MBX
HSMA33LV_H4043C11_MBX	HSMA33LV	metabolomics			HSMA33LV_H4043C11_MBX
HSMA33R7_H4043C17_MBX	HSMA33R7	metabolomics			HSMA33R7_H4043C17_MBX
HSMA33R9_H4043C19_MBX	HSMA33R9	metabolomics			HSMA33R9_H4043C19_MBX
HSMA33NW_H4044C1_MBX	HSMA33NW	metabolomics			HSMA33NW_H4044C1_MBX
HSMA33RX_H4044C21_MBX	HSMA33RX	metabolomics			HSMA33RX_H4044C21_MBX
HSMA33NY_H4045C1_MBX	HSMA33NY	metabolomics			HSMA33NY_H4045C1_MBX
HSMA33J5_H4045C4_MBX	HSMA33J5	metabolomics			HSMA33J5_H4045C4_MBX
HSMA33J9_H4045C6_MBX	HSMA33J9	metabolomics			HSMA33J9_H4045C6_MBX
HSMA33QO_H4045C14_MBX	HSMA33QO	metabolomics			HSMA33QO_H4045C14_MBX
HSMA33SG_H4045C19_MBX	HSMA33SG	metabolomics			HSMA33SG_H4045C19_MBX
HSMA33SK_H4045C21_MBX	HSMA33SK	metabolomics			HSMA33SK_H4045C21_MBX
MSM5LLDI_M2008C1_MBX	MSM5LLDI	metabolomics			MSM5LLDI_M2008C1_MBX
MSM5LLDS_M2008C6_MBX	MSM5LLDS	metabolomics			MSM5LLDS_M2008C6_MBX
MSM5LLHZ_M2008C9_MBX	MSM5LLHZ	metabolomics			MSM5LLHZ_M2008C9_MBX
MSM5LLHQ_M2008C14_MBX	MSM5LLHQ	metabolomics			MSM5LLHQ_M2008C14_MBX
MSM5LLDA_M2008C19_MBX	MSM5LLDA	metabolomics			MSM5LLDA_M2008C19_MBX
MSM6J2LB_M2008C22_MBX	MSM6J2LB	metabolomics			MSM6J2LB_M2008C22_MBX
MSM5FZ9X_M2014C3_MBX	MSM5FZ9X	metabolomics			MSM5FZ9X_M2014C3_MBX
MSM5FZA2_M2014C5_MBX	MSM5FZA2	metabolomics			MSM5FZA2_M2014C5_MBX
MSM5LLGH_M2014C9_MBX	MSM5LLGH	metabolomics			MSM5LLGH_M2014C9_MBX
MSM6J2IQ_M2014C14_MBX	MSM6J2IQ	metabolomics			MSM6J2IQ_M2014C14_MBX
MSM6J2J1_M2014C19_MBX	MSM6J2J1	metabolomics			MSM6J2J1_M2014C19_MBX
MSM6J2QZ_M2014C24_MBX	MSM6J2QZ	metabolomics			MSM6J2QZ_M2014C24_MBX
MSM5LLIG_M2021C3_MBX	MSM5LLIG	metabolomics			MSM5LLIG_M2021C3_MBX
MSM5LLIK_M2021C5_MBX	MSM5LLIK	metabolomics			MSM5LLIK_M2021C5_MBX
MSM5LLEN_M2021C9_MBX	MSM5LLEN	metabolomics			MSM5LLEN_M2021C9_MBX
MSM6J2LT_M2021C17_MBX	MSM6J2LT	metabolomics			MSM6J2LT_M2021C17_MBX
MSM5LLIC_M2025C1_MBX	MSM5LLIC	metabolomics			MSM5LLIC_M2025C1_MBX
MSM5LLHM_M2025C5_MBX	MSM5LLHM	metabolomics			MSM5LLHM_M2025C5_MBX
MSM6J2J5_M2025C9_MBX	MSM6J2J5	metabolomics			MSM6J2J5_M2025C9_MBX
MSM6J2PE_M2025C14_MBX	MSM6J2PE	metabolomics			MSM6J2PE_M2025C14_MBX
