mgen_id	mgen_group_id
CSM67UAS_G110656	core
CSM79HID_G110165	core
CSM79HIF_G116703	core
CSM79HIH_G110649	core
CSM79HIJ_G116707	core
CSM79HIL_G116734	core
CSM79HIN_G110101	core
CSM7KOJQ_G110589	core
CSM7KOJS_G110575	core
CSM7KOJU_G116740	core
CSM7KOJW_G116745	core
CSM7KOJY_G116752	core
CSM7KOK1_G110613	core
CSM7KOPG_G110617	core
CSM7KOPI_G110113	core
CSM7KOPK_G116729	core
CSM7KOPM_G116709	core
CSM7KOPO_G116691	core
CSM67UAU_G110120	core
CSM67UAW_G110135	core
CSM67UAY_G110140	core
CSM67UB1_G110653	core
CSM67UB3_G110163	core
CSM79HIR_G110178	core
CSM79HIT_G110103	core
CSM79HIV_G110091	core
CSM79HIX_G110092	core
CSM79HIZ_G110099	core
CSM7KOK3_G110590	core
CSM7KOK5_G110108	core
CSM7KOK7_G110587	core
CSM7KOKB_G116678	core
CSM7KOKD_G116749	core
CSM7KOPS_G116682	core
CSM7KOPU_G116683	core
CSM7KOPW_G116753	core
CSM7KOQ1_G110631	core
CSM67UB9_G116699	core
CSM67UBB_G110655	core
CSM79HJA_G116735	core
CSM7KOKF_G110591	core
CSM7KOKJ_G116671	core
CSM7KOKN_G116727	core
CSM7KOQX_G110600	core
CSM7KOR2_G116685	core
CSM79HHO_G116705	core
CSM79HHM_G116700	core
CSM79HHU_G116706	core
CSM79HN2_G110573	core
CSM79HN6_G116741	core
CSM7KOLK_G110597	core
CSM7KOLM_G116747	core
CSM7KOSV_G116687	core
CSM7KOSX_G116720	core
CSM67UH7_G110651	core
CSM79HGX_G116737	core
CSM79HGZ_G116733	core
CSM79HOV_G110595	core
CSM79HOX_G110583	core
CSM79HOZ_G116676	core
CSM79HP2_G110568	core
CSM79HP4_G116738	core
CSM79HP6_G110610	core
CSM7KOOH_G116680	core
CSM7KOOJ_G110618	core
CSM7KOOL_G110601	core
CSM7KOON_G110606	core
CSM7KOOP_G110581	core
CSM7KOOR_G116710	core
CSMA8M9R_G110637	core
CSMAAEUA_G110619	core
CSMAE44D_G110624	core
CSMAG78W_G116716	core
CSMAHYLR_G110626	core
CSM79HH4_G116704	core
CSM79HH8_G116675	core
CSM79HHA_G110580	core
CSM79HPA_TR_C3023C8_MGX	core
CSM79HPA_G116662	core
CSM79HPC_G116677	core
CSM7KONA_G110612	core
CSM7KONK_G116688	core
CSM7KOTA_G110632	core
CSM7KOTC_G116664	core
CSM7KOTK_G116715	core
CSM79HHW_G110646	core
CSM79HJM_G116668	core
CSM79HJO_G116701	core
CSM79HJQ_G110642	core
CSM79HJS_G116673	core
CSM79HJU_G110582	core
CSM79HQV_G110585	core
CSM79HQX_G110593	core
CSM79HQZ_G110594	core
CSM79HR2_G116672	core
CSM79HR4_G110598	core
CSM79HR6_G116746	core
CSM7KOOT_G110616	core
CSM7KOOV_G116750	core
CSM7KOOX_G110604	core
CSM7KOOZ_G110657	core
CSM7KOP2_G110565	core
CSMA88CB_G110629	core
CSMA9J65_G116719	core
CSMACTZP_G110621	core
CSMAF72L_G110623	core
CSMAH393_G110636	core
CSMAIG7X_G116692	core
CSM79HKX_G110648	core
CSM79HKZ_G110650	core
CSM79HL4_G110658	core
CSM79HL6_G110567	core
CSM7KOKR_G116743	core
CSM7KOKT_G110608	core
CSM7KOKZ_G116748	core
CSM7KOL2_G110602	core
CSM7KORC_G116754	core
CSM7KORK_G116718	core
CSM7KORI_G110620	core
CSM7KORG_G116714	core
CSM79HNE_G110574	core
CSM79HNI_G110586	core
CSM79HNK_G110592	core
CSM79HNM_G110570	core
CSM7KOLY_G110611	core
CSM7KOS7_G110607	core
CSM7KOSH_G110628	core
CSM9X1Y5_G110625	core
CSM79HNO_G116742	core
CSM79HNU_G116732	core
CSM79HNW_G110569	core
CSM7KOMB_G116679	core
CSM7KOMH_G110603	core
CSM7KOSL_G116663	core
CSM7KOSP_G116665	core
CSM7KOST_G110622	core
CSM7KOSJ_G110635	core
CSM79HR8_G116724	core
CSM79HRC_G116739	core
CSM79HRE_G110596	core
CSM79HRG_G116744	core
CSM7KOO5_G116681	core
CSM7KOO9_G116686	core
CSM7KOOD_G116689	core
CSM7KOOF_G116713	core
CSM9X1Z4_G116697	core
CSM9X1ZC_G116674	core
CSM7KOP6_G110615	core
CSM7KOP8_G110599	core
CSM7KOPE_G110630	core
CSM7KOU9_G116721	core
CSM7KOUB_G110627	core
CSM9X1ZO_G110639	core
CSM9X1ZQ_G110640	core
CSM9X1ZY_G110579	core
CSM9X22G_G110576	core
CSM9X22I_G110584	core
CSM9X22K_G116723	core
CSM7KORO_G116751	core
CSM7KORM_G116684	core
CSM7KORU_G116690	core
CSM7KORS_G110634	core
CSM9X1XU_G116711	core
CSM9X1Y3_G116736	core
CSM9X21J_G116731	core
CSM9X21L_G110588	core
CSM9X21N_G110566	core
CSM7KOTO_G110633	core
CSM7KOTQ_G116666	core
CSM7KOTS_G116667	core
CSM7KOTU_G116717	core
CSM9X1YV_G116696	core
CSM9X21R_G110577	core
CSM9X21T_G116730	core
CSM9X222_G110571	core
CSM9X233_G110563	core
CSM9X235_G116728	core
CSM9X237_G116670	core
CSM9X23B_G116669	core
CSM7KOUL_G116693	core
CSM7KOUN_G116712	core
CSM9X219_G116694	core
CSM9X213_G116695	core
CSM9X215_G110641	core
CSM9X211_G110578	core
CSM9X22S_G116725	core
CSM9X22U_G116726	core
CSM9X23H_G110564	core
CSM9X23N_G116722	core
ESM5MEBE_G111920	core
ESM5GEXY_G110450	core
ESM5MEBG_G110452	core
ESM5MECQ_G111917	core
ESM5MEBI_G111929	core
ESM5MECL_G110463	core
ESM5MEBS_G110461	core
ESM5MEBU_G110457	core
ESM5MEC3_G111899	core
ESM5MEC5_G110453	core
ESM5MEDU_G111922	core
ESM5MEC9_G111914	core
ESM718SY_G111924	core
ESM5ME9U_G110395	core
ESM5MEDN_G110456	core
ESM5MEDK_G111915	core
ESM5MEDD_G111916	core
ESM5MEDF_G110442	core
ESM718UH_G111918	core
ESM7F5AK_G110399	core
ESM7F5AM_G111925	core
ESM7F5CB_G110404	core
ESM7F5CD_G111862	core
ESM7F5CF_G111872	core
ESM5MEB7_G110451	core
ESM5MED2_G110441	core
ESM718V8_G110454	core
ESM718V4_G111919	core
ESM718TK_G110465	core
ESM718TM_G111913	core
ESM718TF_G110393	core
ESM718T9_G111857	core
ESM718T7_G110402	core
ESM7F5C5_G110406	core
ESM7F5C7_G111846	core
ESM9IEP1_G111869	core
HSM5FZBZ_G116708	core
HSM5MD7J_G110645	core
HSM5MD79_G110643	core
HSM67VDZ_G110644	core
HSM67VE4_G110654	core
HSM5MD4Y_G110647	core
HSM5MD53_G116702	core
HSM5MD5P_G110542	core
HSM6XRSG_G110530	core
HSM6XRSI_G110535	core
HSM67VDP_G111764	core
HSM7CYZT_G110476	core
HSM7CYZV_G110472	core
HSM7CZ14_G110493	core
HSM5MD48_G110543	core
HSM5MD7K_G110538	core
HSM5MD7M_G111756	core
HSM5MD7O_G110526	core
HSM5MD7Q_G110528	core
HSM5MD7S_G110512	core
HSM5MD7U_G110531	core
HSM67VEC_G110557	core
HSM67VEE_G110559	core
HSM67VEG_G111822	core
HSM67VEI_G110518	core
HSM67VEK_G110522	core
HSM67VEM_G110478	core
HSM67VEM_TR_H4006C18_MGX	core
HSM7CYX2_G110473	core
HSM7CYX4_G110469	core
HSM7CYX6_G110486	core
HSM7CYX8_G110492	core
HSM7CYXA_G110482	core
HSM7CYXC_G110484	core
HSM5MD4O_G111765	core
HSM5MD4N_G110540	core
HSM6XRSN_G110508	core
HSM6XRST_G110534	core
HSM67VHQ_G111831	core
HSM67VHS_G111820	core
HSM67VHW_G110519	core
HSM67VI1_G111793	core
