library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
CSM79HLC_G110100	CSM79HLC	metagenomics		17860644.0	CSM79HLC_G110100
CSM79HLI_G110029	CSM79HLI	metagenomics		17477069.0	CSM79HLI_G110029
CSM79HLK_G109990	CSM79HLK	metagenomics		15277542.0	CSM79HLK_G109990
CSM5MCUQ_P_G79956	CSM5MCUQ_P	metagenomics	3.0	21095916.0	CSM5MCUQ_G79956
CSM5MCUS_P_G80025	CSM5MCUS_P	metagenomics	6.0	15650438.0	CSM5MCUS_G80025
CSM5MCUW_P_G80066	CSM5MCUW_P	metagenomics	6.0	19328382.0	CSM5MCUW_G80066
CSM5MCUY_P_G80043	CSM5MCUY_P	metagenomics	6.0	26641469.0	CSM5MCUY_G80043
CSM5MCY4_G110159	CSM5MCY4	metagenomics		12224275.0	CSM5MCY4_G110159
CSM5MCY8_G110151	CSM5MCY8	metagenomics		21105290.0	CSM5MCY8_G110151
CSM67UE3_G110048	CSM67UE3	metagenomics		19544568.0	CSM67UE3_G110048
CSM67UE7_G110142	CSM67UE7	metagenomics		12988170.0	CSM67UE7_G110142
CSM67UEA_G110173	CSM67UEA	metagenomics		12345060.0	CSM67UEA_G110173
CSM67UEM_G110054	CSM67UEM	metagenomics		15364377.0	CSM67UEM_G110054
CSM67UEI_G110168	CSM67UEI	metagenomics		15806818.0	CSM67UEI_G110168
CSM79HO1_G110093	CSM79HO1	metagenomics		12847128.0	CSM79HO1_G110093
CSM5MCTZ_P_G79951	CSM5MCTZ_P	metagenomics	3.0	19358330.0	CSM5MCTZ_G79951
CSM5MCUG_P_G79968	CSM5MCUG_P	metagenomics	3.0	21205800.0	CSM5MCUG_G79968
CSM5MCUK_P_G79985	CSM5MCUK_P	metagenomics	3.0	25354417.0	CSM5MCUK_G79985
CSM5MCUO_G110157	CSM5MCUO	metagenomics		19661807.0	CSM5MCUO_G110157
CSM5MCX3_G110130	CSM5MCX3	metagenomics		18755959.0	CSM5MCX3_G110130
CSM67UFV_G110047	CSM67UFV	metagenomics		16804942.0	CSM67UFV_G110047
CSM67UFZ_G110172	CSM67UFZ	metagenomics		14766215.0	CSM67UFZ_G110172
CSM67UG8_G110052	CSM67UG8	metagenomics		20391842.0	CSM67UG8_G110052
CSM79HMN_G110041	CSM79HMN	metagenomics		16732365.0	CSM79HMN_G110041
CSM79HMP_G110024	CSM79HMP	metagenomics		14539317.0	CSM79HMP_G110024
CSM79HMT_G110107	CSM79HMT	metagenomics		13015422.0	CSM79HMT_G110107
CSM5MCVB_P_G79966	CSM5MCVB_P	metagenomics	6.0	12995071.0	CSM5MCVB_G79966
CSM5MCV1_P_G79976	CSM5MCV1_P	metagenomics	6.0	19967292.0	CSM5MCV1_G79976
CSM5MCV5_P_G80060	CSM5MCV5_P	metagenomics	6.0	5820644.0	CSM5MCV5_G80060
CSM5MCU4_P_G80008	CSM5MCU4_P	metagenomics	6.0	17674322.0	CSM5MCU4_G80008
CSM5MCVZ_P_G80040	CSM5MCVZ_P	metagenomics	6.0	17694901.0	CSM5MCVZ_G80040
CSM5MCW4_P_G95636	CSM5MCW4_P	metagenomics	6.0	14822481.0	CSM5MCW4_G95636
CSM5MCW6_G110147	CSM5MCW6	metagenomics		11519145.0	CSM5MCW6_G110147
CSM5MCYW_G110043	CSM5MCYW	metagenomics		15437112.0	CSM5MCYW_G110043
CSM5MCZ3_G110123	CSM5MCZ3	metagenomics		14956621.0	CSM5MCZ3_G110123
CSM5MCZ5_G110037	CSM5MCZ5	metagenomics		19205064.0	CSM5MCZ5_G110037
CSM5MCZ7_G110055	CSM5MCZ7	metagenomics		17483160.0	CSM5MCZ7_G110055
CSM79HKT_G110094	CSM79HKT	metagenomics		15523425.0	CSM79HKT_G110094
CSM79HKV_G110031	CSM79HKV	metagenomics		21294425.0	CSM79HKV_G110031
CSM79HQ9_G110028	CSM79HQ9	metagenomics		29704292.0	CSM79HQ9_G110028
CSM79HQB_G110007	CSM79HQB	metagenomics		15234303.0	CSM79HQB_G110007
CSM79HQF_G110105	CSM79HQF	metagenomics		14312498.0	CSM79HQF_G110105
CSM5MCWA_P_G95735	CSM5MCWA_P	metagenomics	6.0	17629278.0	CSM5MCWA_G95735
CSM5MCWC_G110145	CSM5MCWC	metagenomics		15609334.0	CSM5MCWC_G110145
CSM5MCWE_G110150	CSM5MCWE	metagenomics		16869140.0	CSM5MCWE_G110150
CSM5MCWG_G110050	CSM5MCWG	metagenomics		16981364.0	CSM5MCWG_G110050
CSM67UAA_G110124	CSM67UAA	metagenomics		11061070.0	CSM67UAA_G110124
CSM67UAG_G110039	CSM67UAG	metagenomics		11900734.0	CSM67UAG_G110039
CSM79HI3_G110175	CSM79HI3	metagenomics		20252363.0	CSM79HI3_G110175
CSM79HI7_G110169	CSM79HI7	metagenomics		15611976.0	CSM79HI7_G110169
CSM79HIB_G110098	CSM79HIB	metagenomics		16730409.0	CSM79HIB_G110098
CSM7KOJE_G110008	CSM7KOJE	metagenomics		16103300.0	CSM7KOJE_G110008
CSM7KOJG_G110109	CSM7KOJG	metagenomics		19713791.0	CSM7KOJG_G110109
CSM7KOJO_G110116	CSM7KOJO	metagenomics		15333472.0	CSM7KOJO_G110116
CSM5MCWK_P_G80037	CSM5MCWK_P	metagenomics	3.0	17501049.0	CSM5MCWK_G80037
CSM5MCXT_G110160	CSM5MCXT	metagenomics		5515703.0	CSM5MCXT_G110160
CSM5MCXV_G110045	CSM5MCXV	metagenomics		15963867.0	CSM5MCXV_G110045
CSM5MCXX_P_G95743	CSM5MCXX_P	metagenomics	6.0	13779546.0	CSM5MCXX_G95743
CSM5MCXZ_P_G95645	CSM5MCXZ_P	metagenomics	6.0	11145724.0	CSM5MCXZ_G95645
CSM5MCY2_G110132	CSM5MCY2	metagenomics		10039709.0	CSM5MCY2_G110132
CSM67UCK_G110143	CSM67UCK	metagenomics		10940247.0	CSM67UCK_G110143
CSM79HK9_G110053	CSM79HK9	metagenomics		18270137.0	CSM79HK9_G110053
CSM79HKB_G110104	CSM79HKB	metagenomics		10773663.0	CSM79HKB_G110104
CSM79HOF_G110082	CSM79HOF	metagenomics		11903578.0	CSM79HOF_G110082
CSM79HOH_G110013	CSM79HOH	metagenomics		25764865.0	CSM79HOH_G110013
CSM7KOL4_G110110	CSM7KOL4	metagenomics		19216427.0	CSM7KOL4_G110110
CSM7KOLA_G110115	CSM7KOLA	metagenomics		17163931.0	CSM7KOLA_G110115
CSM7KOLE_G110112	CSM7KOLE	metagenomics		13850293.0	CSM7KOLE_G110112
CSM5MCXB_P_G95739	CSM5MCXB_P	metagenomics	6.0	13722946.0	CSM5MCXB_G95739
CSM5MCYI_P_G95742	CSM5MCYI_P	metagenomics	6.0	11695590.0	CSM5MCYI_G95742
CSM5MCYM_P_G95745	CSM5MCYM_P	metagenomics	6.0	15695941.0	CSM5MCYM_G95745
CSM5MCYO_P_G95748	CSM5MCYO_P	metagenomics	6.0	12689814.0	CSM5MCYO_G95748
CSM5MCYQ_P_G95655	CSM5MCYQ_P	metagenomics	6.0	16872784.0	CSM5MCYQ_G95655
CSM67UEP_P_G95661	CSM67UEP_P	metagenomics	6.0	8133939.0	CSM67UEP_G95661
CSM67UET_P_G95673	CSM67UET_P	metagenomics	6.0	3109884.0	CSM67UET_G95673
CSM67UEW_TR_C3011C9_MGX	CSM67UEW_TR	metagenomics		8463135.0	CSM67UEW_C3011C9_MGX
CSM67UEW_P_G110155	CSM67UEW_P	metagenomics	6.0	14746577.0	CSM67UEW_G110155
CSM67UEW_G110155	CSM67UEW	metagenomics	6.0	10795936.0	CSM67UEW_G110155
CSM67UF1_P_G110035	CSM67UF1_P	metagenomics	6.0	15923629.0	CSM67UF1_G110035
CSM67UF1_G110035	CSM67UF1	metagenomics	6.0	11240936.0	CSM67UF1_G110035
CSM67UF5_G110102	CSM67UF5	metagenomics		10842614.0	CSM67UF5_G110102
CSM79HM1_G110023	CSM79HM1	metagenomics		18942943.0	CSM79HM1_G110023
CSM79HQT_P_G95686	CSM79HQT_P	metagenomics	6.0	11541446.0	CSM79HQT_G95686
CSM79HM5_P_G95699	CSM79HM5_P	metagenomics	6.0	3298248.0	CSM79HM5_G95699
CSM79HM7_G110027	CSM79HM7	metagenomics		22436655.0	CSM79HM7_G110027
CSM79HM9_P_G95781	CSM79HM9_P	metagenomics	6.0	21046273.0	CSM79HM9_G95781
CSM7KOMP_G110117	CSM7KOMP	metagenomics		19345575.0	CSM7KOMP_G110117
CSM7KOMR_P_G95708	CSM7KOMR_P	metagenomics	6.0	10940222.0	CSM7KOMR_G95708
CSM7KOMT_G110111	CSM7KOMT	metagenomics		15621066.0	CSM7KOMT_G110111
CSM7KOMV_P_G95717	CSM7KOMV_P	metagenomics	6.0	11605980.0	CSM7KOMV_G95717
CSM5MCXF_P_G95637	CSM5MCXF_P	metagenomics	6.0	6024437.0	CSM5MCXF_G95637
CSM5MCZB_G110128	CSM5MCZB	metagenomics		17749042.0	CSM5MCZB_G110128
CSM5MCZD_G110138	CSM5MCZD	metagenomics		17705578.0	CSM5MCZD_G110138
CSM5MCZF_G110133	CSM5MCZF	metagenomics		11733471.0	CSM5MCZF_G110133
CSM67U9B_G110060	CSM67U9B	metagenomics		14074787.0	CSM67U9B_G110060
CSM67U9D_G110136	CSM67U9D	metagenomics		13640646.0	CSM67U9D_G110136
CSM67UGO_G110164	CSM67UGO	metagenomics		6699891.0	CSM67UGO_G110164
CSM79HOJ_G110021	CSM79HOJ	metagenomics		25383648.0	CSM79HOJ_G110021
CSM79HOL_G110096	CSM79HOL	metagenomics		19955408.0	CSM79HOL_G110096
CSM79HOT_G110026	CSM79HOT	metagenomics		15280575.0	CSM79HOT_G110026
CSM7KOMX_G110605	CSM7KOMX	metagenomics		14115938.0	CSM7KOMX_G110605
CSM7KOMZ_G110614	CSM7KOMZ	metagenomics		9189987.0	CSM7KOMZ_G110614
CSM7KON2_G110118	CSM7KON2	metagenomics		10012451.0	CSM7KON2_G110118
CSM7KON8_G110114	CSM7KON8	metagenomics		12270053.0	CSM7KON8_G110114
CSM5MCYU_P_G95641	CSM5MCYU_P	metagenomics	6.0	5059314.0	CSM5MCYU_G95641
CSM67U9H_P_G110152	CSM67U9H_P	metagenomics	6.0	42484792.0	CSM67U9H_G110152
CSM67U9H_G110152	CSM67U9H	metagenomics	6.0	11309446.0	CSM67U9H_G110152
CSM67U9N_G110638	CSM67U9N	metagenomics		16820204.0	CSM67U9N_G110638
CSM67U9P_P_G95660	CSM67U9P_P	metagenomics	6.0	10245416.0	CSM67U9P_G95660
CSM67U9R_P_G95663	CSM67U9R_P	metagenomics	6.0	7836987.0	CSM67U9R_G95663
CSM79HGD_P_G95761	CSM79HGD_P	metagenomics	6.0	16328561.0	CSM79HGD_G95761
CSM79HGF_P_G110154	CSM79HGF_P	metagenomics	6.0	16885897.0	CSM79HGF_G110154
CSM79HGF_G110154	CSM79HGF	metagenomics	6.0	13403694.0	CSM79HGF_G110154
CSM79HGH_P_G95669	CSM79HGH_P	metagenomics	6.0	11112682.0	CSM79HGH_G95669
CSM79HGJ_P_G95757	CSM79HGJ_P	metagenomics	6.0	1302426.0	CSM79HGJ_G95757
CSM79HGL_P_G95766	CSM79HGL_P	metagenomics	6.0	12162594.0	CSM79HGL_G95766
CSM79HGN_P_G95769	CSM79HGN_P	metagenomics	6.0	24559033.0	CSM79HGN_G95769
CSM79HPK_G110097	CSM79HPK	metagenomics		15817207.0	CSM79HPK_G110097
CSM79HPM_P_G95692	CSM79HPM_P	metagenomics	6.0	9828719.0	CSM79HPM_G95692
CSM79HPS_G110106	CSM79HPS	metagenomics		14350269.0	CSM79HPS_G110106
CSM79HPQ_P_G95690	CSM79HPQ_P	metagenomics	6.0	11369984.0	CSM79HPQ_G95690
CSM79HPO_G110609	CSM79HPO	metagenomics		16793553.0	CSM79HPO_G110609
CSM79HPU_G110572	CSM79HPU	metagenomics		2312815.0	CSM79HPU_G110572
CSM7KONS_P_G95704	CSM7KONS_P	metagenomics	6.0	9532312.0	CSM7KONS_G95704
CSM7KONU_G110119	CSM7KONU	metagenomics		21981855.0	CSM7KONU_G110119
CSM7KONW_P_G95787	CSM7KONW_P	metagenomics	6.0	18942588.0	CSM7KONW_G95787
CSM67U9T_P_G95746	CSM67U9T_P	metagenomics	6.0	18849955.0	CSM67U9T_G95746
CSM67UAK_G110122	CSM67UAK	metagenomics		15847082.0	CSM67UAK_G110122
CSM67UAM_G110125	CSM67UAM	metagenomics		20249725.0	CSM67UAM_G110125
CSM67UAO_G116698	CSM67UAO	metagenomics		8906743.0	CSM67UAO_G116698
CSM67UAQ_G110652	CSM67UAQ	metagenomics		16015505.0	CSM67UAQ_G110652
CSM67UAS_G110656	CSM67UAS	metagenomics		19193491.0	CSM67UAS_G110656
CSM79HID_G110165	CSM79HID	metagenomics		18580047.0	CSM79HID_G110165
CSM79HIF_G116703	CSM79HIF	metagenomics		14983202.0	CSM79HIF_G116703
CSM79HIH_G110649	CSM79HIH	metagenomics		16133816.0	CSM79HIH_G110649
CSM79HIJ_G116707	CSM79HIJ	metagenomics		12709713.0	CSM79HIJ_G116707
CSM79HIL_G116734	CSM79HIL	metagenomics		10209111.0	CSM79HIL_G116734
CSM79HIN_G110101	CSM79HIN	metagenomics		14392871.0	CSM79HIN_G110101
CSM7KOJQ_G110589	CSM7KOJQ	metagenomics		19112769.0	CSM7KOJQ_G110589
CSM7KOJS_G110575	CSM7KOJS	metagenomics		19828410.0	CSM7KOJS_G110575
CSM7KOJU_G116740	CSM7KOJU	metagenomics		10022655.0	CSM7KOJU_G116740
CSM7KOJW_G116745	CSM7KOJW	metagenomics		7920805.0	CSM7KOJW_G116745
CSM7KOJY_G116752	CSM7KOJY	metagenomics		12348561.0	CSM7KOJY_G116752
CSM7KOK1_G110613	CSM7KOK1	metagenomics		21538897.0	CSM7KOK1_G110613
CSM7KOPG_G110617	CSM7KOPG	metagenomics		16459342.0	CSM7KOPG_G110617
CSM7KOPI_G110113	CSM7KOPI	metagenomics		14681556.0	CSM7KOPI_G110113
CSM7KOPK_G116729	CSM7KOPK	metagenomics		10151389.0	CSM7KOPK_G116729
CSM7KOPM_G116709	CSM7KOPM	metagenomics		12507662.0	CSM7KOPM_G116709
CSM7KOPO_G116691	CSM7KOPO	metagenomics		9942009.0	CSM7KOPO_G116691
CSM67U9V_P_G95649	CSM67U9V_P	metagenomics	6.0	12896541.0	CSM67U9V_G95649
CSM67UAU_G110120	CSM67UAU	metagenomics		27862876.0	CSM67UAU_G110120
CSM67UAW_G110135	CSM67UAW	metagenomics		10743089.0	CSM67UAW_G110135
CSM67UAY_G110140	CSM67UAY	metagenomics		14146470.0	CSM67UAY_G110140
CSM67UB1_G110653	CSM67UB1	metagenomics		21289092.0	CSM67UB1_G110653
CSM67UB3_G110163	CSM67UB3	metagenomics		11516880.0	CSM67UB3_G110163
CSM79HIR_G110178	CSM79HIR	metagenomics		16457316.0	CSM79HIR_G110178
CSM79HIT_G110103	CSM79HIT	metagenomics		8227460.0	CSM79HIT_G110103
CSM79HIV_G110091	CSM79HIV	metagenomics		14606116.0	CSM79HIV_G110091
CSM79HIX_G110092	CSM79HIX	metagenomics		20337865.0	CSM79HIX_G110092
CSM79HIZ_G110099	CSM79HIZ	metagenomics		17196584.0	CSM79HIZ_G110099
CSM7KOK3_G110590	CSM7KOK3	metagenomics		17964611.0	CSM7KOK3_G110590
CSM7KOK5_G110108	CSM7KOK5	metagenomics		12460486.0	CSM7KOK5_G110108
CSM7KOK7_G110587	CSM7KOK7	metagenomics		18475336.0	CSM7KOK7_G110587
CSM7KOKB_G116678	CSM7KOKB	metagenomics		12908682.0	CSM7KOKB_G116678
CSM7KOKD_G116749	CSM7KOKD	metagenomics		11763607.0	CSM7KOKD_G116749
CSM7KOPS_G116682	CSM7KOPS	metagenomics		11744646.0	CSM7KOPS_G116682
CSM7KOPU_G116683	CSM7KOPU	metagenomics		10997731.0	CSM7KOPU_G116683
CSM7KOPW_G116753	CSM7KOPW	metagenomics		11330482.0	CSM7KOPW_G116753
CSM7KOQ1_G110631	CSM7KOQ1	metagenomics		22036744.0	CSM7KOQ1_G110631
CSM67U9X_P_G95747	CSM67U9X_P	metagenomics	6.0	18212103.0	CSM67U9X_G95747
CSM67UB5_P_G95653	CSM67UB5_P	metagenomics	6.0	10337772.0	CSM67UB5_G95653
CSM67UB7_P_G95657	CSM67UB7_P	metagenomics	6.0	15640839.0	CSM67UB7_G95657
CSM67UB9_P_G116699	CSM67UB9_P	metagenomics	6.0	22010264.0	CSM67UB9_G116699
CSM67UB9_G116699	CSM67UB9	metagenomics	6.0	14719137.0	CSM67UB9_G116699
CSM67UBB_G110655	CSM67UBB	metagenomics		15025662.0	CSM67UBB_G110655
CSM79HJ2_P_G95666	CSM79HJ2_P	metagenomics	6.0	17709130.0	CSM79HJ2_G95666
CSM79HJ4_P_G95667	CSM79HJ4_P	metagenomics	6.0	16463417.0	CSM79HJ4_G95667
CSM79HJ6_P_G95680	CSM79HJ6_P	metagenomics	6.0	9262662.0	CSM79HJ6_G95680
CSM79HJ8_P_G95768	CSM79HJ8_P	metagenomics	6.0	18384125.0	CSM79HJ8_G95768
CSM79HJA_G116735	CSM79HJA	metagenomics		9100206.0	CSM79HJA_G116735
CSM79HJC_P_G95773	CSM79HJC_P	metagenomics	6.0	14439612.0	CSM79HJC_G95773
CSM7KOKF_G110591	CSM7KOKF	metagenomics		24623035.0	CSM7KOKF_G110591
CSM7KOKH_P_G95778	CSM7KOKH_P	metagenomics	6.0	18704208.0	CSM7KOKH_G95778
CSM7KOKJ_G116671	CSM7KOKJ	metagenomics		11394876.0	CSM7KOKJ_G116671
CSM7KOKL_P_G95782	CSM7KOKL_P	metagenomics	6.0	14146007.0	CSM7KOKL_G95782
CSM7KOKN_G116727	CSM7KOKN	metagenomics		11079171.0	CSM7KOKN_G116727
CSM7KOKP_P_G95709	CSM7KOKP_P	metagenomics	6.0	14198348.0	CSM7KOKP_G95709
CSM7KOQX_G110600	CSM7KOQX	metagenomics		12902662.0	CSM7KOQX_G110600
CSM7KOQZ_P_G95715	CSM7KOQZ_P	metagenomics	6.0	16022440.0	CSM7KOQZ_G95715
CSM7KOR2_G116685	CSM7KOR2	metagenomics		13188003.0	CSM7KOR2_G116685
CSM7KOR4_P_G95790	CSM7KOR4_P	metagenomics	6.0	11587549.0	CSM7KOR4_G95790
